road_id,period,actual_flow,distance,capacity,condition,is_two_way
9,MORNING,2622,15.2,3800,9,1
22,MORNING,2622,35.5,3800,9,1
21,MORNING,2760,45.0,4000,10,1
12,EVENING,1350,2.2,1800,8,1
47,EVENING,1350,3.5,1800,8,1
17,EVENING,1425,2.1,1900,7,1
48,EVENING,1425,6.1,1900,7,1
6,EVENING,1500,3.2,2000,8,1
26,EVENING,1500,2.5,2000,7,1
38,EVENING,1500,4.2,2000,6,1
46,EVENING,1500,4.6,2000,7,1
31,EVENING,1575,3.4,2100,7,1
15,EVENING,1650,3.3,2200,7,1
19,EVENING,1650,3.6,2200,7,1
33,EVENING,1650,2.9,2200,8,1
45,EVENING,1650,2.8,2200,7,1
34,EVENING,1725,5.1,2300,8,1
8,EVENING,1800,3.8,2400,7,1
18,EVENING,1800,8.7,2400,6,1
29,EVENING,1800,4.8,2400,8,1
40,EVENING,1800,7.3,2400,7,1
43,EVENING,1800,12.4,2400,7,1
2,EVENING,1875,6.2,2500,6,1
32,EVENING,1875,18.1,2500,8,1
41,EVENING,1875,10.8,2500,8,1
7,EVENING,1950,4.5,2600,6,1
16,EVENING,1950,14.8,2600,5,1
30,EVENING,1950,11.6,2600,7,1
37,EVENING,1950,6.4,2600,7,1
39,EVENING,2025,9.1,2700,8,1
3,EVENING,2100,5.9,2800,8,1
20,EVENING,2100,12.7,2800,6,1
27,EVENING,2100,8.3,2800,8,1
36,EVENING,2100,18.7,2800,7,1
42,EVENING,2100,13.7,2800,8,1
10,EVENING,2250,5.3,3000,10,1
14,EVENING,2250,9.8,3000,9,1
23,EVENING,2250,9.8,3000,9,1
28,EVENING,2250,6.1,3000,9,1
11,EVENING,2325,7.9,3100,7,1
4,EVENING,2400,4.0,3200,9,1
25,EVENING,2400,9.2,3200,8,1
5,EVENING,2625,6.1,3500,7,1
13,EVENING,2625,24.5,3500,8,1
24,EVENING,2625,7.5,3500,9,1
9,EVENING,2850,15.2,3800,9,1
22,EVENING,2850,35.5,3800,9,1
21,EVENING,3000,45.0,4000,10,1
12,NIGHT,972,2.2,1800,8,1
47,NIGHT,972,3.5,1800,8,1
17,NIGHT,1026,2.1,1900,7,1
48,NIGHT,1026,6.1,1900,7,1
6,NIGHT,1080,3.2,2000,8,1
26,NIGHT,1080,2.5,2000,7,1
38,NIGHT,1080,4.2,2000,6,1
46,NIGHT,1080,4.6,2000,7,1
31,NIGHT,1134,3.4,2100,7,1
15,NIGHT,1188,3.3,2200,7,1
19,NIGHT,1188,3.6,2200,7,1
33,NIGHT,1188,2.9,2200,8,1
45,NIGHT,1188,2.8,2200,7,1
34,NIGHT,1242,5.1,2300,8,1
8,NIGHT,1296,3.8,2400,7,1
18,NIGHT,1296,8.7,2400,6,1
29,NIGHT,1296,4.8,2400,8,1
40,NIGHT,1296,7.3,2400,7,1
43,NIGHT,1296,12.4,2400,7,1
2,NIGHT,1350,6.2,2500,6,1
32,NIGHT,1350,18.1,2500,8,1
41,NIGHT,1350,10.8,2500,8,1
7,NIGHT,1404,4.5,2600,6,1
16,NIGHT,1404,14.8,2600,5,1
30,NIGHT,1404,11.6,2600,7,1
39,NIGHT,1458,9.1,2700,8,1
3,NIGHT,1512,5.9,2800,8,1
20,NIGHT,1512,12.7,2800,6,1
27,NIGHT,1512,8.3,2800,8,1
36,NIGHT,1512,18.7,2800,7,1
42,NIGHT,1512,13.7,2800,8,1
1,NIGHT,1620,8.5,3000,7,1
10,NIGHT,1620,5.3,3000,10,1
14,NIGHT,1620,9.8,3000,9,1
23,NIGHT,1620,9.8,3000,9,1
28,NIGHT,1620,6.1,3000,9,1
44,NIGHT,1620,17.9,3000,8,1
11,NIGHT,1674,7.9,3100,7,1
4,NIGHT,1728,4.0,3200,9,1
25,NIGHT,1728,9.2,3200,8,1
5,NIGHT,1890,6.1,3500,7,1
13,NIGHT,1890,24.5,3500,8,1
24,NIGHT,1890,7.5,3500,9,1
35,NIGHT,1944,33.4,3600,9,1
9,NIGHT,2052,15.2,3800,9,1
22,NIGHT,2052,35.5,3800,9,1
21,NIGHT,2160,45.0,4000,10,1
